vol_kind,vol_win,trend_win,target,sharpe,cagr,maxdd,vol,calmar,n
parkinson,21,100,0.1,0.7176267225875822,0.07526295982361564,-0.202880360217513,0.10701902158322205,0.37097213226023645,6939
parkinson,21,250,0.1,0.7111872786876252,0.07596381971981914,-0.17729920782440112,0.10922214336863023,0.42844985407410535,6939
close,21,100,0.1,0.7045218570020753,0.07778232108200256,-0.21398744325055508,0.11324170919202181,0.36349011839413525,6939
parkinson,21,100,0.15,0.7015027927266209,0.10278913084223928,-0.2790996006773312,0.15342895685590713,0.36828834793308945,6939
parkinson,42,100,0.1,0.6993633965873497,0.07113354715096887,-0.1987491826842186,0.10396374590685198,0.35790611156368357,6939
parkinson,63,100,0.1,0.6952087352037101,0.06888236184130658,-0.19533793875422856,0.10121455985612372,0.35263176360212034,6939
parkinson,21,250,0.15,0.6950984031281332,0.10369758008760166,-0.26030544509306874,0.15674884041040504,0.39836884722302285,6939
parkinson,42,250,0.1,0.6934704926940004,0.07270296698601264,-0.18839656846094743,0.10744954582614662,0.38590388126460584,6939
close,21,250,0.1,0.6915131861867826,0.07730061248802578,-0.18408252235813893,0.1150368687216309,0.4199236923624653,6939
close,42,100,0.1,0.691293261382639,0.07119637593401529,-0.1945221611923975,0.10549367940320745,0.36600650279428343,6939
parkinson,21,100,0.2,0.6894777355466774,0.1281705713222514,-0.358781983249182,0.20063874745163476,0.3572380367640538,6939
close,21,100,0.15,0.686977748335859,0.10605800710537383,-0.30367402514483033,0.16315553007822783,0.3492495186402324,6939
close,63,100,0.1,0.6863567102055578,0.06811062033337478,-0.19015969590245851,0.10153785356805921,0.3581759005773326,6939
close,42,250,0.1,0.6851425951663691,0.07255889845474295,-0.18070049725585946,0.10877320173995639,0.40154232864121314,6939
parkinson,21,250,0.2,0.683258110745081,0.12916978291343684,-0.3368288267571701,0.2050580026754723,0.38348791033422797,6939
parkinson,42,100,0.15,0.6824479275829575,0.09670646252709747,-0.27469161930566244,0.14873282924679085,0.3520546523098966,6939
parkinson,10,100,0.1,0.6821201534925515,0.07444996579399654,-0.24715868556588239,0.11236920842672453,0.30122334411813023,6939
parkinson,21,200,0.1,0.6798784603264121,0.07217237980144908,-0.18778053584838506,0.1091553342011028,0.3843443063754032,6939
parkinson,63,100,0.15,0.67830474892615,0.09348014468559063,-0.2713653734468824,0.14446018605408323,0.34448074011140783,6939
parkinson,10,250,0.1,0.6776799695769301,0.07442280100925891,-0.21751663443256464,0.11320918829243595,0.34214763024173106,6939
parkinson,42,250,0.15,0.6766239244632047,0.09883823337954345,-0.2677250244712456,0.15401502239117434,0.3691781654507196,6939
parkinson,21,300,0.1,0.6759431056227773,0.07260862953571445,-0.18423004082985361,0.11061869290382807,0.3941193803608416,6939
close,10,100,0.1,0.6758915306516251,0.08055998881281945,-0.2727329615504991,0.12359508265580678,0.29538046430043624,6939
parkinson,63,250,0.1,0.6752866907083116,0.06991375904418362,-0.20694897915047905,0.10640191180906773,0.33783089595888827,6939
close,21,250,0.15,0.6737736690453489,0.10517183777031702,-0.26765524169029764,0.16585046505443368,0.3929377101159512,6939
close,42,100,0.15,0.6735588982059292,0.09665833933405343,-0.2747798493338153,0.15118344161716687,0.35176647621139207,6939
close,21,100,0.2,0.6732017252924802,0.13054672771479092,-0.38873809212899546,0.21211754886890063,0.3358218048553663,6939
parkinson,21,150,0.1,0.6728054896676441,0.07279948908633704,-0.24663119145409862,0.11154916008501149,0.29517551554255056,6939
parkinson,42,100,0.2,0.6703015673688603,0.1203582588329235,-0.3539987497672118,0.19437285292972936,0.3399962822243599,6939
close,63,100,0.15,0.6686817049803642,0.0922561658101031,-0.27459626176252205,0.14502446814258232,0.33597021757670037,6939
close,63,250,0.1,0.668283721656866,0.06918371905442333,-0.20305168391588913,0.10653811219428203,0.34071975036208796,6939
close,42,250,0.15,0.6675190255451844,0.0984845779570378,-0.2585625455129379,0.15614148635499195,0.3808926685868733,6939
parkinson,63,100,0.2,0.6659896033666552,0.11627870905271998,-0.3502290564140239,0.18859581490334373,0.33200760166301246,6939
close,10,100,0.2,0.6649200675929384,0.1350950034922518,-0.45626532753937066,0.22492906600802887,0.29608869080807937,6939
parkinson,42,250,0.2,0.6647689132908374,0.12287919480747922,-0.34191096949649125,0.20142169058620957,0.3593894486287906,6939
parkinson,10,100,0.15,0.6641583701734372,0.10104271191110659,-0.35201286231061046,0.16169829905987904,0.28704267011115103,6939
parkinson,21,200,0.15,0.6625338999448569,0.09787433981451321,-0.26836355624073727,0.15659471703270647,0.3647080147004551,6939
